lat,lon,LST_Kelvin_mean
37.0,26.5,294.8378016485876
37.0,26.75,296.181493817099
37.0,27.0,295.303586364069
37.0,27.25,297.18976104104166
37.0,27.5,296.96216144416115
37.0,27.75,297.13997347469905
37.0,28.0,296.9402624972402
37.0,28.25,296.59625878179145
37.0,28.5,297.2205898303855
37.0,28.75,294.7301147400798
37.0,29.0,294.57790561106816
37.0,29.25,293.28158265729155
37.0,29.5,293.1127093106077
37.0,29.75,296.0781533893568
37.0,30.0,296.357937994259
37.0,30.25,297.3740670657934
37.0,30.5,296.86425299530737
37.0,30.75,301.3528457023904
37.0,31.0,300.9028957543496
37.0,31.25,298.78955266814296
37.0,31.5,294.6120244711251
37.0,31.75,292.965102530601
37.0,32.0,285.3200208442382
37.0,32.25,289.22777946554754
37.0,32.5,295.06437068052753
37.0,32.75,297.0664449701039
37.0,33.0,297.7695420964395
37.0,33.25,296.80852352716107
37.0,33.5,296.8969851794471
37.0,33.75,292.09489291035464
37.0,34.0,289.5232868728891
37.0,34.25,289.9086944638408
37.0,34.5,294.8989682949684
37.0,34.75,299.70439477933166
37.0,35.0,301.44834141299265
37.0,35.25,299.43259303498445
37.0,35.75,301.0897165508471
37.0,36.0,300.5650926889637
37.0,36.25,297.298089857073
37.0,36.5,294.72558583912917
37.0,36.75,301.72292120459934
37.0,37.0,303.2485937617606
37.0,37.25,303.5935182046209
37.0,37.5,304.1246633433859
37.0,37.75,305.0038906444948
37.0,38.0,304.7300536844946
37.25,-9.0,294.77457848407215
37.25,-8.75,297.3785151330842
37.25,-8.5,299.412993651064
37.25,-8.25,300.6694871491474
37.25,-8.0,299.5022934123248
37.25,-7.75,299.70586865418727
37.25,-7.5,301.4524035555953
37.25,-7.25,300.0854980646018
37.25,-7.0,299.18223225399976
37.25,-6.75,300.90530384648855
37.25,-6.5,301.4789142571347
37.25,-6.25,301.0499059524919
37.25,-6.0,300.1410655024821
37.25,-5.75,303.68472736039695
37.25,-5.5,304.6026686636661
37.25,-5.25,303.41578767561435
37.25,-5.0,301.99384131168074
37.25,-4.75,300.78599720038716
37.25,-4.5,300.64831576659367
37.25,-4.25,298.6420514032851
37.25,-4.0,299.727227001181
37.25,-3.75,299.5508868786064
