lat,lon,LST_Celsius_mean
36.75,7.0,24.72566523778687
36.75,7.25,25.065868854615644
36.75,8.25,23.933337752327702
36.75,8.5,22.549511174215297
36.75,8.75,21.963790452676733
36.75,9.0,24.6397862474779
36.75,9.25,24.817890734097432
36.75,9.5,24.789180339665336
36.75,9.75,25.924806073341813
36.75,10.0,26.264017951963524
36.75,10.25,24.889960262614807
36.75,10.5,24.29791317465589
36.75,10.75,24.676338479339165
36.75,11.0,24.87721967749235
36.75,11.25,26.269610389610477
36.75,12.0,22.702697026367503
36.75,14.5,25.770516592184606
36.75,14.75,25.56728403242937
36.75,15.0,25.29641908239506
36.75,15.25,24.55284489302977
36.75,22.0,23.821319528772335
36.75,22.25,21.32004325671022
36.75,22.5,22.472747631844243
36.75,22.75,25.11730167311896
36.75,23.0,23.577130646211117
36.75,24.25,23.431133213415194
36.75,24.5,24.186377157937727
36.75,24.75,23.08759477078729
36.75,25.25,22.8722308425032
36.75,25.5,22.788246185673017
36.75,26.5,22.050839811543028
36.75,27.0,24.50925069398886
36.75,27.25,24.349780655812538
36.75,27.5,22.9415312369494
36.75,27.75,24.100819808343488
36.75,28.0,23.845894421593698
36.75,28.25,23.363750685975674
36.75,28.5,23.294103029366738
36.75,28.75,25.15798250490343
36.75,29.0,24.353188316807746
36.75,29.25,24.271948459901523
36.75,29.5,20.02494928687878
36.75,29.75,21.303247506590083
36.75,30.0,23.06667081006856
36.75,30.25,18.072601482492814
36.75,30.5,20.64947135293943
36.75,30.75,27.162219758745607
36.75,31.0,27.298176068265093
36.75,31.25,27.488573334388036
36.75,31.5,26.828605716544928
36.75,31.75,23.86107466264002
36.75,32.0,21.028596711947046
36.75,32.25,16.167916816926493
36.75,32.5,17.237495659314504
36.75,32.75,21.13933666424134
36.75,33.0,20.25838440825578
36.75,33.25,26.056849317602087
36.75,33.5,23.418382887591235
36.75,33.75,21.501279309794825
36.75,34.0,21.359160004418186
36.75,36.25,20.5667477107242
36.75,36.5,26.64180912975428
36.75,36.75,29.216104573492885
36.75,37.0,30.33994801729716
36.75,37.25,32.01785286548591
36.75,37.5,32.65286452173143
36.75,37.75,33.869605828383214
36.75,38.0,32.99338310739387
37.0,-9.0,23.575055127426992
37.0,-8.75,25.503938631294034
37.0,-8.5,25.747870893112065
37.0,-8.25,26.94002625146004
37.0,-8.0,25.780199398035336
37.0,-7.75,26.2472701169836
37.0,-7.5,24.205591397849446
37.0,-6.75,26.824032780799428
37.0,-6.5,28.303994917290026
37.0,-6.25,27.368240327658896
37.0,-6.0,27.777745891177915
37.0,-5.75,30.744348209542068
37.0,-5.5,28.622997980744913
37.0,-5.25,27.80805247170963
37.0,-5.0,27.003519964505358
37.0,-4.75,26.64141136151926
37.0,-4.5,26.578349775838262
37.0,-4.25,24.849245592608213
37.0,-4.0,24.443877549736555
37.0,-3.75,25.088130846894387
37.0,-3.5,21.005983441221247
37.0,-3.25,19.466641825600846
37.0,-3.0,22.191878422980267
37.0,-2.75,22.687240028375754
37.0,-2.5,27.652736392698216
37.0,-2.25,27.45823448952848
37.0,-2.0,26.713777594015482
37.0,-1.75,24.624236431017323
37.0,4.75,20.66587514937811
37.0,7.25,23.518157954141202
37.0,7.5,22.381028186766514
37.0,8.25,22.20354307270071
37.0,8.5,21.965870533787268
37.0,8.75,21.807393215371064
37.0,9.0,21.989400688774424
37.0,9.25,24.471480459310783
37.0,9.5,24.41769904507896
37.0,9.75,25.308216150803787
37.0,10.0,25.85380832471759
37.0,10.25,25.47974212445189
37.0,10.5,22.385688073394363
37.0,10.75,23.26064492417953
37.0,11.0,23.78197787970123
37.0,13.75,24.813612303290313
37.0,14.0,25.874467541913702
37.0,14.25,26.61553895743174
37.0,14.5,25.784074841146094
37.0,14.75,23.63132216335788
37.0,15.0,23.868093495919084
37.0,15.25,24.850959289160983
37.0,21.5,23.825020572570054
37.0,21.75,22.93193625768123
37.0,22.0,24.46521820073366
37.0,22.25,18.697799944628173
37.0,22.5,23.51757110306511
37.0,22.75,23.460722607224852
37.0,23.0,21.36735742537155
37.0,24.5,24.946294642857254
37.0,24.75,22.736136964820048
37.0,25.0,23.005159644270634
37.0,25.25,23.754149025905974
37.0,25.5,23.79958522240605
37.0,26.25,21.301977160094907
37.0,26.5,21.687801648587595
37.0,26.75,23.031493817099033
37.0,27.0,22.153586364069042
37.0,27.25,24.039761041041686
