lat,lon,LST_Kelvin,LST_Celsius
36.5,32.25,293.92602469135807,20.77602469135809
36.5,32.5,284.96868217054265,11.818682170542672
36.5,32.75,288.88737338044757,15.737373380447593
36.5,33.0,292.3966891891892,19.246689189189226
36.5,33.25,293.24628158844763,20.096281588447653
36.5,33.5,295.38549600912205,22.235496009122073
36.5,33.75,292.88497200447927,19.73497200447929
36.5,34.0,294.04052318668255,20.89052318668257
36.5,34.25,295.7305263157895,22.58052631578954
36.5,35.25,296.96061855670104,23.81061855670106
36.5,35.5,300.6735483870968,27.52354838709681
36.5,35.75,297.74,24.590000000000032
36.5,36.0,293.82094420600856,20.670944206008585
36.5,36.25,295.0914070351759,21.941407035175928
36.5,36.5,298.22168284789643,25.071682847896454
36.5,36.75,294.48117647058825,21.331176470588275
36.75,2.75,295.7856321839081,22.635632183908115
36.75,3.0,295.2565306122449,22.10653061224491
36.75,3.5,287.69363636363636,14.54363636363638
36.75,3.75,293.48549707602336,20.335497076023387
36.75,4.0,297.9176875,24.767687500000022
36.75,4.25,298.72952522255196,25.57952522255198
36.75,4.5,295.9462661955242,22.796266195524197
36.75,4.75,297.89911262798637,24.749112627986392
36.75,5.0,297.6684210526316,24.518421052631595
36.75,5.25,288.0,14.850000000000023
36.75,5.75,290.52153846153846,17.371538461538478
36.75,6.75,296.81066176470586,23.66066176470588
36.75,7.0,298.098783269962,24.948783269962007
36.75,7.25,304.8632293986637,31.713229398663714
36.75,7.5,307.9968888888889,34.84688888888894
36.75,7.75,309.27561993047505,36.12561993047507
36.75,8.0,307.85729093050645,34.707290930506474
36.75,8.25,306.1584222222222,33.00842222222224
36.75,8.5,305.17463483146065,32.02463483146067
36.75,8.75,304.2593211488251,31.10932114882513
36.75,9.0,307.7408888888889,34.59088888888891
36.75,9.25,298.24695652173915,25.096956521739173
36.75,9.5,299.771,26.621000000000038
36.75,9.75,302.5977777777778,29.447777777777844
36.75,10.0,305.5230576441103,32.373057644110304
36.75,10.25,302.7287692307692,29.57876923076924
36.75,12.0,291.8389189189189,18.688918918918944
36.75,14.5,304.6097247706422,31.459724770642197
36.75,14.75,303.3040301318267,30.154030131826744
36.75,15.0,300.85533884297524,27.705338842975266
36.75,15.25,299.6175,26.46750000000003
36.75,21.75,296.1785903083701,23.0285903083701
36.75,22.0,293.6193548387097,20.469354838709705
36.75,22.25,293.46966887417216,20.31966887417218
36.75,22.5,293.31329787234046,20.16329787234048
36.75,22.75,294.276862745098,21.126862745098038
36.75,23.0,289.98044444444446,16.83044444444448
36.75,25.75,292.3833333333333,19.23333333333335
36.75,26.0,295.48,22.33000000000004
36.75,26.5,292.9771428571429,19.827142857142917
36.75,27.0,296.3924705882353,23.242470588235335
36.75,27.25,295.4851851851852,22.335185185185196
36.75,27.5,293.28597701149425,20.135977011494276
36.75,27.75,294.95467455621304,21.804674556213058
36.75,28.0,295.449358974359,22.299358974358995
36.75,28.25,294.4755309734513,21.32553097345135
36.75,28.5,294.6,21.450000000000045
36.75,28.75,296.3216133942162,23.171613394216195
36.75,29.0,294.59264214046823,21.44264214046825
36.75,29.25,294.27811944091485,21.128119440914872
36.75,29.5,290.7266130884041,17.576613088404144
36.75,29.75,291.97977553310886,18.829775533108887
36.75,30.0,291.7391741071429,18.589174107142924
36.75,30.25,286.5096786389414,13.359678638941432
36.75,30.5,286.7988,13.648800000000051
36.75,31.0,292.3891428571429,19.239142857142895
36.75,31.25,293.0496969696969,19.899696969696947
36.75,31.5,295.87061425061427,22.72061425061429
36.75,31.75,294.47627986348124,21.32627986348126
36.75,32.0,291.4802531645569,18.33025316455695
36.75,32.25,285.2602380952381,12.110238095238117
36.75,32.5,287.05430499325234,13.904304993252367
36.75,32.75,289.66696517412936,16.516965174129382
36.75,33.0,289.17594965675056,16.025949656750583
36.75,33.25,294.7317769130999,21.58177691309993
36.75,33.5,291.873137973138,18.723137973138023
36.75,33.75,290.5320224719101,17.382022471910147
36.75,34.0,290.26392201834864,17.11392201834866
36.75,34.25,292.553744966443,19.403744966443014
36.75,34.5,297.1225959780622,23.972595978062202
36.75,34.75,299.6696551724138,26.51965517241382
36.75,35.0,299.09893203883496,25.948932038834982
36.75,35.25,298.12174706649284,24.971747066492867
36.75,35.5,299.64986772486776,26.499867724867784
36.75,35.75,298.4469102990033,25.296910299003343
36.75,36.0,298.66823529411766,25.518235294117687
36.75,36.25,293.0063157894737,19.85631578947374
36.75,36.5,296.4467605633803,23.296760563380303
36.75,36.75,295.9720731707317,22.8220731707317
36.75,37.0,297.82290322580644,24.672903225806465
36.75,37.25,297.15636363636366,24.006363636363687
36.75,37.75,297.14,23.99000000000001
36.75,38.0,295.16,22.010000000000048
37.0,4.0,287.99454545454546,14.844545454545482
37.0,4.25,289.05263157894734,15.902631578947364
37.0,4.5,292.46981132075473,19.319811320754752
37.0,4.75,293.4469230769231,20.29692307692312
