latitude,longitude,land_cover_class
-89.875,13.875,15
-89.875,14.125,15
-89.875,14.375,15
-89.875,14.625,15
-89.875,14.875,15
-89.875,15.125,15
-89.875,15.375,15
-89.875,15.625,15
-89.875,15.875,15
-89.875,16.125,15
-89.875,16.375,15
-89.875,16.625,15
-89.875,16.875,15
-89.875,17.125,15
-89.875,17.375,15
-89.875,17.625,15
-89.875,17.875,15
-89.875,18.125,15
-89.875,18.375,15
-89.875,18.625,15
-89.875,18.875,15
-89.875,19.125,15
-89.875,19.375,15
-89.875,19.625,15
-89.875,19.875,15
-89.875,20.125,15
-89.875,20.375,15
-89.875,20.625,15
-89.875,20.875,15
-89.875,21.125,15
-89.875,21.375,15
-89.875,21.625,15
-89.875,21.875,15
-89.875,22.125,15
-89.875,22.375,15
-89.875,22.625,15
-89.875,22.875,15
-89.875,23.125,15
-89.875,23.375,15
-89.875,23.625,15
-89.875,23.875,15
-89.875,24.125,15
-89.875,24.375,15
-89.875,24.625,15
-89.875,24.875,15
-89.875,25.125,15
-89.875,25.375,15
-89.875,25.625,15
-89.875,25.875,15
-89.875,26.125,15
-89.875,26.375,15
-89.875,26.625,15
-89.875,26.875,15
-89.875,27.125,15
-89.875,27.375,15
-89.875,27.625,15
-89.875,27.875,15
-89.875,28.125,15
-89.875,28.375,15
-89.875,28.625,15
-89.875,28.875,15
-89.875,29.125,15
-89.875,29.375,15
-89.875,29.625,15
-89.875,29.875,15
-89.875,30.125,15
-89.875,30.375,15
-89.875,30.625,15
-89.875,30.875,15
-89.875,31.125,15
-89.875,31.375,15
-89.875,31.625,15
-89.875,31.875,15
-89.875,32.125,15
-89.875,32.375,15
-89.875,32.625,15
-89.875,32.875,15
-89.875,33.125,15
-89.875,33.375,15
-89.875,33.625,15
-89.875,33.875,15
-89.875,34.125,15
-89.875,34.375,15
-89.875,34.625,15
-89.875,34.875,15
-89.875,35.125,15
-89.875,35.375,15
-89.875,35.625,15
-89.875,35.875,15
-89.875,36.125,15
-89.875,36.375,15
-89.875,36.625,15
-89.875,36.875,15
-89.875,37.125,15
